id	marque	designation	annee	km	prix
788	peugeot	307CC 2.0 HDI 136ch FAP Sport Pack CUIR INTEGRAL	2007	46200	17900
789	mini	VW SCIROCCO 2.0 PACK SPORT 200 Cv 2009	2009	25900	22500
790	peugeot	307 hdi	2002	165000	5700
791	bmw	BMW 118D Confort BVA6 / 5P / 12.06.09 / 13000km	2009	13000	22900
792	renault	RENAULT SCENIC II 1.9l dci 120ch Pack Expression	2005	95000	8300
793	audi	Audi a 4 2&virgule;5 v6 tdi 163 cv pack luxe	2003	142000	12900
794	renault	Espace dci	2005	185000	7250
795	renault	Scenic 1.9dci 120ch de 2006 échange possible	2006	155000	8000
796	audi	A4 ambition luxe multitronic 100mkms ct vierge	2005	100000	16500
797	audi	"Audi a3 ""affaire"""	2000	156000	5900
798	renault	Espace IV Privilège 2.2 dci de 12/2004	2004	101000	12500
799	audi	A4 2.0l TDI 140cv AMBITION LUXE MULTITRONIC 98000K	2005	100000	16500
800	peugeot	Peugeot 307 Hdi 90cv	2002	171700	5300
801	renault	RENAULT LAGUNA II Phase 2 Essence 2.0T Luxe Priv	2005	35000	9000
802	renault	Espace 4 dci 2.2 l	2005	154500	8800
803	fiat	FIAT GRANDEPUNTO 1.9 JTDiesel 120 CV EMOTION	2006	65000	7200
804	peugeot	Urgent 307 x-line clim 2l hdi 90cv	2004	121000	6690
805	bmw	Bmw 120d	2009	15600	27500
806	opel	Opel vectra 2.5 v6 cdx pack cuir bva	1999	151000	2790
807	renault	Senic RX4 toutes options	2002	110000	7000
808	peugeot	Peugeot 307 sw 2.0 HDI 110 cv navetech on board	2003	143000	7400
809	toyota	Belle Toyota avensis II 2.0 D4D 116 ch Sol	2003	76000	11000
810	renault	Clio williams 200cv numérotée 1261	1994	154852	5000
811	toyota	RAV 4 genération II phase 2 48000km 3 portes	2004	48000	14600
812	peugeot	306 TD signature	1996	255000	2800
813	renault	TRES BELLE LAGUNA 1.9DCI PRIVILEGE de 2003	2003	182000	4890
814	citroen	TRES URGENT c8 2.0 pack 16v 110cv 7places merci	2003	90000	10200
815	renault	Renault Megane 1.9 DCi 120cv Confort expression	2005	67000	8500
816	audi	Audi A3 S-LINE 2.0 TDI	2009	23800	27600
817	seat	Break BONNE AFFAIRE	2001	129000	5000
818	alfa romeo	ALFA 147 DUCATI 170cv - Sous garantie	2009	25000	25000
819	renault	Mégane II 1.9 DCI 130 cv	2007	65000	11900
820	fiat	Fiat grande punto 1&virgule;9 mjt emotion 3p 2006	2006	46000	10500
821	renault	SENIC II CONFORT EXPRESSION 1&virgule;9DCI 120 Chx Boite6v	2004	115000	6800
822	audi	Av A4 ambiente 2.5 tdi 163 multitronic	2005	47910	18500
823	volvo	Volvo S60 2.4 D Momentum &virgule;126 ch&virgule; boite 5 vitesses	2007	39050	15700
824	renault	Grand scenic 2.0 dci 150 ch dynamique 5 places	2007	38429	15790
825	renault	Laguna 3 berline Privilège 2&virgule;0 dCi 150 + attelage	2007	35000	17700
826	alfa romeo	Alfa Romeo GT 1.9 JTD 150 Cuir GPS Distinctive	2005	85000	12990
827	ford	FORD MONDEO 2 trend berline 157000km	2002	157000	4200
828	audi	607 2.2 HDI 136cv 2003	2003	197700	6900
829	nissan	A SAISIR Nissan X-Trail 2.2 DCI 136 CV Confort	2004	160000	7900
830	audi	Audi a3 2.0 tdi 140 ch pack ambition	2004	145000	10500
831	audi	Audi a3 tdi 2.0 ambition 140	2007	52000	17300
832	opel	Opel astra GTC 150CV	2006	105000	9800
833	audi	Audi A3 SPORTBACK 2&virgule;0 TDI 140CV 07/2008	2008	8500	21960
834	renault	Laguna 2.2l dci 150ch bv6 faible km année 01/2002	2002	96000	4800
835	fiat	FIAT 4x4 SEDICI 1.9 JTD120 EMOTION 5p	2007	34000	13607
836	renault	Échange Clio RS 2 phase 2	2002	94500	8000
837	renault	Grand Scénic 5 Places JADE 1.9Dci 130 CV	2009	5000	24000
838	peugeot	Peugeot 607 2.2HDI 136CV	2004	165000	6990
839	hyundai	MONOSPACE HYUNDAI - 2.5 TD 100CV - 162000km -Tinté	2000	162000	5100
840	audi	Audi a3 1.9tdi 14.500km 3 portes noir brillant	2008	14500	22000
841	peugeot	Peugeot 308 Sw Diesel 2.0 HDI 136 cv Premium	2009	3900	16970
842	renault	Renault Laguna III estate2.0 Dci 130 cv Expression	2008	26359	14970
843	renault	Renault Grand Scenic III 2.0 Dci 160 cv Jade 7 pl	2009	49500	19970
844	renault	Renault Laguna III berline 2.0 Dci 150 cv BVA6 Pr	2008	12043	16490
845	mini	PEUGEOT 807 2.2 HDI GPS COULEUR CUIR boite 6	2006	112500	12500
846	renault	Renault mégane	2004	150000	6700
847	audi	AUDi A4 1.9 TDi 110chv RS4	1998	260000	3500
848	renault	LAGUNA 1.9 DCI 120ch gps xenon	2001	127000	6000
849	audi	SOLDES +++ Double emploi avec voiture de fonction	2005	96000	15900
850	renault	TOP Mégane Sport Dynamique oct 2005	2006	99500	8500
851	alfa romeo	Alfa 147 selespeed	2001	89000	6000
852	kia	Belle 406 2.2 hdi 136 cv pack sport	2002	155000	5900
853	renault	Renault Megane 1.9dci 130CV FAP	2006	75000	9500
854	audi	Audi a4 1.9 tdi 90cv	1995	290000	3000
855	audi	Audi a3 1.9 tdi ambiente	1999	246000	5400
